,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
29,Jonas Valančiūnas,Toronto Raptors,2019,18.8,.575,.300,7.2,1.0,0.4,0.8,1.3,12.8
30,Norman Powell,Toronto Raptors,2019,18.8,.483,.400,2.3,1.5,0.7,0.2,1.1,8.6
31,Delon Wright,Toronto Raptors,2019,18.3,.433,.333,2.6,2.2,0.9,0.3,0.8,6.9
32,C.J. Miles,Toronto Raptors,2019,14.1,.340,.314,1.7,0.6,0.5,0.3,0.5,5.5
33,Patrick McCaw,Toronto Raptors,2019,13.2,.444,.333,1.7,1.0,0.8,0.1,0.5,2.7
34,Jodie Meeks,Toronto Raptors,2019,13.0,.538,.444,1.5,1.0,0.1,0.1,0.3,6.4
35,Greg Monroe,Toronto Raptors,2019,11.1,.460,.000,4.1,0.4,0.3,0.2,0.8,4.8
36,Eric Moreland,Toronto Raptors,2019,9.5,.429,1.000,4.3,1.0,0.3,0.3,1.3,1.8
37,Lorenzo Brown,Toronto Raptors,2019,8.2,.324,.214,1.2,1.1,0.5,0.2,0.6,2.1
38,Malcolm Miller,Toronto Raptors,2019,6.7,.423,.476,0.5,0.1,0.1,0.1,0.1,3.5
39,Chris Boucher,Toronto Raptors,2019,5.8,.447,.324,2.0,0.1,0.2,0.9,0.3,3.3
40,Malachi Richardson,Toronto Raptors,2019,4.7,.310,.320,0.6,0.0,0.0,0.0,0.4,1.4
41,Jordan Loyd,Toronto Raptors,2019,4.6,.444,.500,0.8,0.5,0.0,0.0,0.2,2.4
42,Klay Thompson,Golden State Warriors,2018,34.3,.488,.440,3.8,2.5,0.8,0.5,1.8,20.0
43,Kevin Durant,Golden State Warriors,2018,34.2,.516,.419,6.8,5.4,0.7,1.8,3.0,26.4
44,Draymond Green,Golden State Warriors,2018,32.7,.454,.301,7.6,7.3,1.4,1.3,2.9,11.0
45,Stephen Curry,Golden State Warriors,2018,32.0,.495,.423,5.1,6.1,1.6,0.2,3.0,26.4
46,Andre Iguodala,Golden State Warriors,2018,25.3,.463,.282,3.8,3.3,0.8,0.6,1.0,6.0
47,Quinn Cook,Golden State Warriors,2018,22.4,.484,.442,2.5,2.7,0.4,0.0,1.0,9.5
48,Nick Young,Golden State Warriors,2018,17.4,.412,.377,1.6,0.5,0.5,0.1,0.5,7.3
49,Patrick McCaw,Golden State Warriors,2018,16.9,.409,.238,1.4,1.4,0.8,0.2,0.7,4.0
50,Shaun Livingston,Golden State Warriors,2018,15.9,.501,.000,1.8,2.0,0.5,0.3,0.8,5.5
51,Jordan Bell,Golden State Warriors,2018,14.2,.627,.000,3.6,1.8,0.6,1.0,0.9,4.6
52,Zaza Pachulia,Golden State Warriors,2018,14.1,.564,.000,4.7,1.6,0.6,0.2,1.0,5.4
53,Omri Casspi,Golden State Warriors,2018,14.0,.580,.455,3.8,1.0,0.3,0.4,0.7,5.7
54,Kevon Looney,Golden State Warriors,2018,13.8,.580,.200,3.3,0.6,0.5,0.8,0.5,4.0
55,David West,Golden State Warriors,2018,13.7,.571,.375,3.3,1.9,0.6,1.0,1.1,6.8
56,JaVale McGee,Golden State Warriors,2018,9.5,.621,.000,2.6,0.5,0.3,0.9,0.4,4.8
57,Damian Jones,Golden State Warriors,2018,5.9,.500,,0.9,0.1,0.1,0.2,0.3,1.7
58,Chris Boucher,Golden State Warriors,2018,1.0,.000,.000,1.0,0.0,0.0,0.0,0.0,0.0
59,Klay Thompson,Golden State Warriors,2017,34.0,.468,.414,3.7,2.1,0.8,0.5,1.6,22.3
60,Stephen Curry,Golden State Warriors,2017,33.4,.468,.411,4.5,6.6,1.8,0.2,3.0,25.3
61,Kevin Durant,Golden State Warriors,2017,33.4,.537,.375,8.3,4.8,1.1,1.6,2.2,25.1
62,Draymond Green,Golden State Warriors,2017,32.5,.418,.308,7.9,7.0,2.0,1.4,2.4,10.2
63,Andre Iguodala,Golden State Warriors,2017,26.3,.528,.362,4.0,3.4,1.0,0.5,0.8,7.6
64,Matt Barnes,Golden State Warriors,2017,20.5,.422,.346,4.6,2.3,0.6,0.5,1.2,5.7
65,Zaza Pachulia,Golden State Warriors,2017,18.1,.534,.000,5.9,1.9,0.8,0.5,1.2,6.1
66,Shaun Livingston,Golden State Warriors,2017,17.7,.547,.333,2.0,1.8,0.5,0.3,0.8,5.1
67,Patrick McCaw,Golden State Warriors,2017,15.1,.433,.333,1.4,1.1,0.5,0.2,0.5,4.0
68,Ian Clark,Golden State Warriors,2017,14.8,.487,.374,1.6,1.2,0.5,0.1,0.7,6.8
69,David West,Golden State Warriors,2017,12.6,.536,.375,3.0,2.2,0.6,0.7,1.1,4.6
70,JaVale McGee,Golden State Warriors,2017,9.6,.652,.000,3.2,0.2,0.2,0.9,0.5,6.1
71,James Michael McAdoo,Golden State Warriors,2017,8.8,.530,.250,1.8,0.3,0.3,0.6,0.4,2.8
72,Damian Jones,Golden State Warriors,2017,8.5,.500,,2.3,0.0,0.1,0.4,0.6,1.9
73,Kevon Looney,Golden State Warriors,2017,8.4,.523,.222,2.3,0.5,0.3,0.3,0.3,2.5
74,Anderson Varejão,Golden State Warriors,2017,6.6,.357,,1.9,0.7,0.2,0.2,0.6,1.3
75,Briante Weber,Golden State Warriors,2017,6.6,.357,.000,0.6,0.7,0.4,0.1,0.4,1.7
76,Dahntay Jones,Cleveland Cavaliers,2016,42.0,.429,.500,5.0,2.0,1.0,2.0,0.0,13.0
77,LeBron James,Cleveland Cavaliers,2016,35.6,.520,.309,7.4,6.8,1.4,0.6,3.3,25.3
78,Kyrie Irving,Cleveland Cavaliers,2016,31.5,.448,.321,3.0,4.7,1.1,0.3,2.3,19.6
79,Kevin Love,Cleveland Cavaliers,2016,31.5,.419,.360,9.9,2.4,0.8,0.5,1.8,16.0
80,J.R. Smith,Cleveland Cavaliers,2016,30.7,.415,.400,2.8,1.7,1.1,0.3,0.8,12.4
81,Tristan Thompson,Cleveland Cavaliers,2016,27.7,.588,,9.0,0.8,0.5,0.6,0.7,7.8
82,Matthew Dellavedova,Cleveland Cavaliers,2016,24.6,.405,.410,2.1,4.4,0.6,0.1,1.5,7.5
83,Iman Shumpert,Cleveland Cavaliers,2016,24.4,.374,.295,3.8,1.7,1.0,0.4,1.1,5.8
84,Mo Williams,Cleveland Cavaliers,2016,18.2,.437,.353,1.8,2.4,0.3,0.1,1.4,8.2
85,Richard Jefferson,Cleveland Cavaliers,2016,17.9,.458,.382,1.7,0.8,0.4,0.2,0.6,5.5
86,Timofey Mozgov,Cleveland Cavaliers,2016,17.4,.565,.143,4.4,0.4,0.3,0.8,0.9,6.3
87,Channing Frye,Cleveland Cavaliers,2016,17.2,.441,.377,3.6,1.0,0.3,0.3,0.5,7.5
88,Anderson Varejão,Cleveland Cavaliers,2016,10.0,.421,.000,2.9,0.6,0.4,0.2,0.5,2.6
89,James Jones,Cleveland Cavaliers,2016,9.6,.408,.394,1.0,0.3,0.2,0.2,0.3,3.7
90,Jared Cunningham,Cleveland Cavaliers,2016,8.9,.352,.313,0.7,0.5,0.3,0.1,0.5,2.6
91,Jordan McRae,Cleveland Cavaliers,2016,7.5,.442,.636,0.8,1.0,0.0,0.1,0.6,4.1
92,Sasha Kaun,Cleveland Cavaliers,2016,3.8,.529,,1.0,0.1,0.2,0.2,0.3,0.9
93,Joe Harris,Cleveland Cavaliers,2016,3.0,.250,.250,0.6,0.4,0.0,0.0,0.2,0.6
94,Stephen Curry,Golden State Warriors,2015,32.7,.487,.443,4.3,7.7,2.0,0.2,3.1,23.8
95,Klay Thompson,Golden State Warriors,2015,31.9,.463,.439,3.2,2.9,1.1,0.8,1.9,21.7
96,Draymond Green,Golden State Warriors,2015,31.5,.443,.337,8.2,3.7,1.6,1.3,1.7,11.7
97,Harrison Barnes,Golden State Warriors,2015,28.3,.482,.405,5.5,1.4,0.7,0.2,0.9,10.1
98,Andre Iguodala,Golden State Warriors,2015,26.9,.466,.349,3.3,3.0,1.2,0.3,1.1,7.8
99,Andrew Bogut,Golden State Warriors,2015,23.6,.563,,8.1,2.7,0.6,1.7,1.6,6.3
100,Shaun Livingston,Golden State Warriors,2015,18.8,.500,.000,2.3,3.3,0.6,0.3,1.3,5.9
101,David Lee,Golden State Warriors,2015,18.4,.511,.000,5.2,1.7,0.6,0.5,1.0,7.9
102,Marreese Speights,Golden State Warriors,2015,15.9,.492,.278,4.3,0.9,0.3,0.4,1.1,10.4
103,Leandro Barbosa,Golden State Warriors,2015,14.9,.474,.384,1.4,1.5,0.6,0.1,0.7,7.1
104,Justin Holiday,Golden State Warriors,2015,11.1,.387,.321,1.2,0.8,0.7,0.2,0.5,4.3
105,Festus Ezeli,Golden State Warriors,2015,11.0,.547,,3.4,0.2,0.2,0.9,0.7,4.4
106,James Michael McAdoo,Golden State Warriors,2015,9.1,.545,,2.5,0.1,0.3,0.6,0.4,4.1
107,Brandon Rush,Golden State Warriors,2015,8.2,.204,.111,1.2,0.4,0.2,0.4,0.3,0.9
108,Ognjen Kuzmić,Golden State Warriors,2015,4.5,.667,,1.1,0.4,0.1,0.1,0.3,1.3
109,Tony Parker,San Antonio Spurs,2014,29.4,.499,.373,2.3,5.7,0.5,0.1,2.2,16.7
110,Tim Duncan,San Antonio Spurs,2014,29.2,.490,.000,9.7,3.0,0.6,1.9,2.1,15.1
111,Kawhi Leonard,San Antonio Spurs,2014,29.1,.522,.379,6.2,2.0,1.7,0.8,1.2,12.8
112,Marco Belinelli,San Antonio Spurs,2014,25.2,.485,.430,2.8,2.2,0.6,0.1,1.2,11.4
113,Boris Diaw,San Antonio Spurs,2014,25.0,.521,.402,4.1,2.8,0.6,0.4,1.5,9.1
114,Danny Green,San Antonio Spurs,2014,24.3,.432,.415,3.4,1.5,1.0,0.9,1.1,9.1
115,Manu Ginóbili,San Antonio Spurs,2014,22.8,.469,.349,3.0,4.3,1.0,0.3,2.0,12.3
116,Tiago Splitter,San Antonio Spurs,2014,21.5,.523,.000,6.2,1.5,0.5,0.5,1.3,8.2
117,Patty Mills,San Antonio Spurs,2014,18.9,.464,.425,2.1,1.8,0.8,0.1,0.8,10.2
118,Malcolm Thomas,San Antonio Spurs,2014,15.0,.250,,9.0,0.0,0.0,2.0,1.0,2.0
119,Cory Joseph,San Antonio Spurs,2014,13.8,.475,.316,1.6,1.7,0.5,0.2,0.6,5.0
120,Jeff Ayres,San Antonio Spurs,2014,13.0,.580,,3.5,0.8,0.2,0.3,0.9,3.3
121,Nando De Colo,San Antonio Spurs,2014,11.6,.452,.323,1.7,1.2,0.6,0.1,0.8,4.3
122,Matt Bonner,San Antonio Spurs,2014,11.3,.445,.429,2.1,0.5,0.2,0.2,0.3,3.2
123,Shannon Brown,San Antonio Spurs,2014,10.3,.286,.000,1.3,0.5,0.1,0.0,0.8,2.3
124,Damion James,San Antonio Spurs,2014,10.0,.222,.000,2.4,0.6,0.0,0.2,0.2,1.2
125,Aron Baynes,San Antonio Spurs,2014,9.3,.436,,2.7,0.6,0.0,0.1,0.7,3.0
126,Othyus Jeffers,San Antonio Spurs,2014,8.5,.600,.000,1.5,0.3,0.0,0.0,0.0,1.8
127,Austin Daye,San Antonio Spurs,2014,8.2,.382,.414,1.4,0.4,0.3,0.3,0.4,4.1
128,LeBron James,Miami Heat,2013,37.9,.565,.406,8.0,7.3,1.7,0.9,3.0,26.8
129,Dwyane Wade,Miami Heat,2013,34.7,.521,.258,5.0,5.1,1.9,0.8,2.8,21.2
130,Chris Bosh,Miami Heat,2013,33.2,.535,.284,6.8,1.7,0.9,1.4,1.7,16.6
131,Mario Chalmers,Miami Heat,2013,26.9,.429,.409,2.2,3.5,1.5,0.2,1.5,8.6
132,Ray Allen,Miami Heat,2013,25.8,.449,.419,2.7,1.7,0.8,0.2,1.3,10.9
133,Shane Battier,Miami Heat,2013,24.8,.420,.430,2.3,1.0,0.6,0.8,0.5,6.6
134,Norris Cole,Miami Heat,2013,19.9,.421,.357,1.6,2.1,0.7,0.1,1.3,5.6
135,Udonis Haslem,Miami Heat,2013,18.9,.514,,5.4,0.5,0.4,0.2,0.6,3.9
136,Mike Miller,Miami Heat,2013,15.3,.433,.417,2.7,1.7,0.4,0.1,0.6,4.8
137,Chris Andersen,Miami Heat,2013,14.9,.577,.667,4.1,0.4,0.4,1.0,0.6,4.9
138,Rashard Lewis,Miami Heat,2013,14.4,.414,.389,2.2,0.5,0.4,0.3,0.6,5.2
139,Joel Anthony,Miami Heat,2013,9.1,.515,,1.9,0.2,0.2,0.7,0.4,1.4
140,Juwan Howard,Miami Heat,2013,7.3,.526,,1.1,0.9,0.0,0.0,0.6,3.0
141,James Jones,Miami Heat,2013,5.8,.344,.302,0.6,0.3,0.1,0.2,0.1,1.6
142,Josh Harrellson,Miami Heat,2013,5.2,.444,.200,1.2,0.0,0.2,0.2,0.5,1.7
143,Jarvis Varnado,Miami Heat,2013,5.0,.333,,0.8,0.3,0.0,0.3,0.6,0.3
144,Terrel Harris,Miami Heat,2013,4.1,.250,.000,1.3,0.3,0.0,0.0,0.6,1.4
145,Dexter Pittman,Miami Heat,2013,3.0,.600,,1.8,0.0,0.0,0.0,0.5,1.5
146,LeBron James,Miami Heat,2012,37.5,.531,.362,7.9,6.2,1.9,0.8,3.4,27.1
147,Chris Bosh,Miami Heat,2012,35.2,.487,.286,7.9,1.8,0.9,0.8,2.1,18.0
148,Dwyane Wade,Miami Heat,2012,33.2,.497,.268,4.8,4.6,1.7,1.3,2.6,22.1
149,Mario Chalmers,Miami Heat,2012,28.5,.448,.388,2.7,3.5,1.5,0.2,2.2,9.8
150,Udonis Haslem,Miami Heat,2012,24.8,.423,,7.3,0.7,0.5,0.4,0.9,6.0
151,Shane Battier,Miami Heat,2012,23.1,.387,.339,2.4,1.3,1.0,0.5,0.6,4.8
152,Joel Anthony,Miami Heat,2012,21.1,.559,,3.9,0.1,0.6,1.3,0.7,3.4
153,Norris Cole,Miami Heat,2012,19.4,.393,.276,1.4,2.0,0.7,0.0,1.6,6.8
154,Mike Miller,Miami Heat,2012,19.3,.435,.453,3.3,1.1,0.4,0.2,0.8,6.1
155,Ronny Turiaf,Miami Heat,2012,17.0,.533,.000,4.5,0.4,0.6,1.1,0.6,3.5
156,Terrel Harris,Miami Heat,2012,14.5,.349,.205,2.3,1.2,0.4,0.1,1.1,3.6
157,James Jones,Miami Heat,2012,13.1,.380,.404,1.0,0.4,0.3,0.2,0.2,3.6
158,Dexter Pittman,Miami Heat,2012,8.6,.468,,2.0,0.3,0.2,0.2,0.5,3.0
159,Juwan Howard,Miami Heat,2012,6.8,.309,,1.7,0.4,0.1,0.0,0.7,1.5
160,Eddy Curry,Miami Heat,2012,5.9,.462,,0.9,0.1,0.0,0.1,0.7,2.1
161,Mickell Gladness,Miami Heat,2012,3.5,.333,,1.4,0.3,0.1,0.1,0.4,0.3
162,Dirk Nowitzki,Dallas Mavericks,2011,34.3,.517,.393,7.0,2.6,0.5,0.6,1.9,23.0
163,Jason Kidd,Dallas Mavericks,2011,33.2,.361,.340,4.4,8.2,1.7,0.4,2.2,7.9
164,Jason Terry,Dallas Mavericks,2011,31.3,.451,.362,1.9,4.1,1.1,0.2,2.0,15.8
165,Caron Butler,Dallas Mavericks,2011,29.9,.450,.431,4.1,1.6,1.0,0.3,1.7,15.0
166,Shawn Marion,Dallas Mavericks,2011,28.2,.520,.152,6.9,1.4,0.9,0.6,1.6,12.5
167,Tyson Chandler,Dallas Mavericks,2011,27.8,.654,,9.4,0.4,0.5,1.1,1.2,10.1
168,J.J. Barea,Dallas Mavericks,2011,20.6,.439,.349,2.0,3.9,0.4,0.0,1.7,9.5
169,Peja Stojaković,Dallas Mavericks,2011,20.2,.429,.400,2.6,0.9,0.4,0.1,0.4,8.6
170,Brendan Haywood,Dallas Mavericks,2011,18.5,.574,.000,5.2,0.3,0.2,1.0,0.7,4.4
171,Rodrigue Beaubois,Dallas Mavericks,2011,17.7,.422,.301,1.9,2.3,0.7,0.3,1.7,8.4
172,Sasha Pavlović,Dallas Mavericks,2011,16.3,.429,.438,1.2,0.7,0.5,0.3,0.5,4.1
173,DeShawn Stevenson,Dallas Mavericks,2011,16.1,.388,.378,1.5,1.1,0.3,0.1,0.6,5.3
174,Corey Brewer,Dallas Mavericks,2011,11.4,.490,.308,1.8,0.9,0.8,0.2,0.8,5.3
175,Brian Cardinal,Dallas Mavericks,2011,11.0,.430,.483,1.1,0.7,0.4,0.1,0.3,2.6
176,Ian Mahinmi,Dallas Mavericks,2011,8.7,.561,.000,2.1,0.1,0.3,0.3,0.4,3.1
177,Dominique Jones,Dallas Mavericks,2011,7.5,.311,.000,1.4,1.1,0.3,0.2,0.6,2.3
178,Alexis Ajinça,Dallas Mavericks,2011,7.5,.375,.429,1.7,0.2,0.3,0.5,0.1,2.9
179,Steve Novak,Dallas Mavericks,2011,2.6,.500,.750,0.7,0.0,0.0,0.0,0.0,1.6
180,Kobe Bryant,Los Angeles Lakers,2010,38.8,.456,.329,5.4,5.0,1.5,0.3,3.2,27.0
181,Pau Gasol,Los Angeles Lakers,2010,37.0,.536,.000,11.3,3.4,0.6,1.7,2.2,18.3
182,Metta World Peace,Los Angeles Lakers,2010,33.8,.414,.355,4.3,3.0,1.4,0.3,1.6,11.0
183,Lamar Odom,Los Angeles Lakers,2010,31.5,.463,.319,9.8,3.3,0.9,0.7,1.8,10.8
184,Andrew Bynum,Los Angeles Lakers,2010,30.4,.570,.000,8.3,1.0,0.5,1.4,1.8,15.0
185,Derek Fisher,Los Angeles Lakers,2010,27.2,.380,.348,2.1,2.5,1.1,0.1,1.0,7.5
186,Shannon Brown,Los Angeles Lakers,2010,20.7,.427,.328,2.2,1.3,0.7,0.4,0.8,8.1
187,Jordan Farmar,Los Angeles Lakers,2010,18.0,.435,.376,1.6,1.5,0.6,0.1,0.9,7.2
188,Luke Walton,Los Angeles Lakers,2010,9.4,.357,.412,1.3,1.4,0.3,0.0,0.4,2.4
189,Josh Powell,Los Angeles Lakers,2010,9.2,.366,.438,1.8,0.6,0.1,0.1,0.5,2.7
190,Sasha Vujačić,Los Angeles Lakers,2010,8.6,.402,.309,1.2,0.6,0.3,0.1,0.3,2.8
191,Adam Morrison,Los Angeles Lakers,2010,7.8,.376,.238,1.0,0.6,0.1,0.1,0.3,2.4
192,Didier Ilunga-Mbenga,Los Angeles Lakers,2010,7.2,.466,,1.8,0.2,0.1,0.6,0.3,2.1
193,Pau Gasol,Los Angeles Lakers,2009,37.0,.567,.500,9.6,3.5,0.6,1.0,1.9,18.9
194,Kobe Bryant,Los Angeles Lakers,2009,36.1,.467,.351,5.2,4.9,1.5,0.5,2.6,26.8
195,Derek Fisher,Los Angeles Lakers,2009,29.8,.424,.397,2.3,3.2,1.2,0.1,0.9,9.9
196,Lamar Odom,Los Angeles Lakers,2009,29.7,.492,.320,8.2,2.6,1.0,1.3,1.8,11.3
197,Andrew Bynum,Los Angeles Lakers,2009,28.9,.560,,8.0,1.4,0.4,1.8,1.7,14.3
198,Trevor Ariza,Los Angeles Lakers,2009,24.4,.460,.319,4.3,1.8,1.7,0.3,1.1,8.9
199,Jordan Farmar,Los Angeles Lakers,2009,18.3,.391,.336,1.8,2.4,0.9,0.2,1.3,6.4
200,Luke Walton,Los Angeles Lakers,2009,17.9,.436,.298,2.8,2.7,0.5,0.2,1.1,5.0
201,Vladimir Radmanović,Los Angeles Lakers,2009,16.8,.444,.441,2.5,0.8,0.6,0.2,1.0,5.9
202,Sasha Vujačić,Los Angeles Lakers,2009,16.2,.387,.363,1.7,1.4,1.0,0.1,0.4,5.8
203,Josh Powell,Los Angeles Lakers,2009,11.7,.444,,2.9,0.5,0.2,0.3,0.9,4.2
204,Didier Ilunga-Mbenga,Los Angeles Lakers,2009,7.9,.474,.000,1.3,0.4,0.4,1.0,0.6,2.7
205,Shannon Brown,Los Angeles Lakers,2009,7.6,.524,.667,1.1,0.6,0.2,0.1,0.5,3.2
206,Chris Mihm,Los Angeles Lakers,2009,5.8,.375,,1.9,0.6,0.1,0.3,0.6,2.0
207,Adam Morrison,Los Angeles Lakers,2009,5.5,.333,.250,1.0,0.4,0.0,0.0,0.4,1.3
208,Sun Yue,Los Angeles Lakers,2009,2.8,.273,.000,0.0,0.2,0.1,0.1,0.3,0.6
209,Ray Allen,Boston Celtics,2008,35.9,.445,.398,3.7,3.1,0.9,0.2,1.7,17.4
210,Paul Pierce,Boston Celtics,2008,35.9,.464,.392,5.1,4.5,1.3,0.5,2.8,19.6
211,Kevin Garnett,Boston Celtics,2008,32.8,.539,.000,9.2,3.4,1.4,1.3,1.9,18.8
212,Rajon Rondo,Boston Celtics,2008,29.9,.492,.263,4.2,5.1,1.7,0.2,1.9,10.6
213,James Posey,Boston Celtics,2008,24.6,.418,.380,4.4,1.5,1.0,0.3,0.9,7.4
214,Kendrick Perkins,Boston Celtics,2008,24.5,.615,.000,6.1,1.1,0.4,1.5,1.6,6.9
215,Eddie House,Boston Celtics,2008,19.0,.409,.393,2.1,1.9,0.8,0.1,1.0,7.5
216,Tony Allen,Boston Celtics,2008,18.3,.434,.316,2.2,1.5,0.8,0.3,1.5,6.6
217,Sam Cassell,Boston Celtics,2008,17.6,.385,.409,1.8,2.1,0.5,0.2,1.1,7.6
218,Leon Powe,Boston Celtics,2008,14.4,.572,.000,4.1,0.3,0.3,0.3,0.8,7.9
219,Glen Davis,Boston Celtics,2008,13.6,.484,,3.0,0.4,0.4,0.3,0.9,4.5
220,P.J. Brown,Boston Celtics,2008,11.6,.341,.000,3.8,0.6,0.3,0.4,0.6,2.2
221,Brian Scalabrine,Boston Celtics,2008,10.7,.309,.326,1.6,0.8,0.2,0.2,0.5,1.8
222,Scot Pollard,Boston Celtics,2008,7.9,.522,,1.7,0.1,0.1,0.3,0.2,1.8
223,Gabe Pruitt,Boston Celtics,2008,6.3,.359,.250,0.5,0.9,0.3,0.0,0.3,2.1
224,Tim Duncan,San Antonio Spurs,2007,34.1,.546,.111,10.6,3.4,0.8,2.4,2.8,20.0
225,Tony Parker,San Antonio Spurs,2007,32.5,.520,.395,3.2,5.5,1.1,0.1,2.5,18.6
226,Bruce Bowen,San Antonio Spurs,2007,30.0,.405,.384,2.7,1.4,0.8,0.3,0.8,6.2
227,Manu Ginóbili,San Antonio Spurs,2007,27.5,.464,.396,4.4,3.5,1.5,0.4,2.1,16.5
228,James White,San Antonio Spurs,2007,22.8,.439,.286,3.3,0.8,0.5,0.2,0.8,8.3
229,Michael Finley,San Antonio Spurs,2007,22.2,.412,.364,2.7,1.3,0.4,0.2,0.6,9.0
230,Brent Barry,San Antonio Spurs,2007,21.7,.475,.446,2.1,1.8,0.7,0.2,0.8,8.5
231,Francisco Elson,San Antonio Spurs,2007,19.0,.511,.000,4.8,0.8,0.4,0.8,1.2,5.0
232,Fabricio Oberto,San Antonio Spurs,2007,17.3,.562,,4.7,0.9,0.3,0.3,0.9,4.4
233,Robert Horry,San Antonio Spurs,2007,16.5,.359,.336,3.4,1.1,0.7,0.6,0.6,3.9
234,Beno Udrih,San Antonio Spurs,2007,13.0,.369,.287,1.1,1.7,0.4,0.0,0.8,4.7
235,Jacque Vaughn,San Antonio Spurs,2007,11.9,.425,.500,1.1,2.0,0.4,0.0,0.6,3.0
236,Matt Bonner,San Antonio Spurs,2007,11.7,.447,.383,2.8,0.4,0.3,0.2,0.4,4.9
237,Melvin Ely,San Antonio Spurs,2007,10.8,.300,,2.3,0.7,0.7,0.3,0.8,3.2
238,Jackie Butler,San Antonio Spurs,2007,9.4,.457,,2.0,0.5,0.2,0.0,0.9,3.7
239,Eric Williams,San Antonio Spurs,2007,5.5,.441,.471,0.9,0.4,0.1,0.0,0.3,2.6
240,Dwyane Wade,Miami Heat,2006,38.6,.495,.171,5.7,6.7,1.9,0.8,3.6,27.2
241,Jason Williams,Miami Heat,2006,31.8,.442,.372,2.4,4.9,0.9,0.1,1.7,12.3
242,Udonis Haslem,Miami Heat,2006,30.8,.508,.000,7.8,1.2,0.6,0.2,1.0,9.3
243,Shaquille O'Neal,Miami Heat,2006,30.6,.600,,9.2,1.9,0.4,1.8,2.8,20.0
244,James Posey,Miami Heat,2006,28.6,.403,.403,4.8,1.3,0.8,0.3,0.9,7.2
245,Gary Payton,Miami Heat,2006,28.5,.420,.287,2.9,3.2,0.9,0.1,1.3,7.7
