,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game,player_efficiency,position
94,Stephen Curry,Golden State Warriors,2015,32.7,.487,.443,4.3,7.7,2.0,0.2,3.1,23.8,28.0,PG
95,Klay Thompson,Golden State Warriors,2015,31.9,.463,.439,3.2,2.9,1.1,0.8,1.9,21.7,20.8,SG
96,Draymond Green,Golden State Warriors,2015,31.5,.443,.337,8.2,3.7,1.6,1.3,1.7,11.7,16.4,PF
97,Harrison Barnes,Golden State Warriors,2015,28.3,.482,.405,5.5,1.4,0.7,0.2,0.9,10.1,13.4,SF
98,Andre Iguodala,Golden State Warriors,2015,26.9,.466,.349,3.3,3.0,1.2,0.3,1.1,7.8,12.3,SF
99,Andrew Bogut,Golden State Warriors,2015,23.6,.563,,8.1,2.7,0.6,1.7,1.6,6.3,15.8,C
100,Shaun Livingston,Golden State Warriors,2015,18.8,.500,.000,2.3,3.3,0.6,0.3,1.3,5.9,12.9,PG
101,David Lee,Golden State Warriors,2015,18.4,.511,.000,5.2,1.7,0.6,0.5,1.0,7.9,17.8,PF
102,Marreese Speights,Golden State Warriors,2015,15.9,.492,.278,4.3,0.9,0.3,0.4,1.1,10.4,19.5,C
103,Leandro Barbosa,Golden State Warriors,2015,14.9,.474,.384,1.4,1.5,0.6,0.1,0.7,7.1,15.3,SG
104,Justin Holiday,Golden State Warriors,2015,11.1,.387,.321,1.2,0.8,0.7,0.2,0.5,4.3,12.1,SG
105,Festus Ezeli,Golden State Warriors,2015,11.0,.547,,3.4,0.2,0.2,0.9,0.7,4.4,16.2,C
106,James Michael McAdoo,Golden State Warriors,2015,9.1,.545,,2.5,0.1,0.3,0.6,0.4,4.1,17.7,PF
107,Brandon Rush,Golden State Warriors,2015,8.2,.204,.111,1.2,0.4,0.2,0.4,0.3,0.9,0.8,SG
108,Ognjen Kuzmić,Golden State Warriors,2015,4.5,.667,,1.1,0.4,0.1,0.1,0.3,1.3,12.9,C
109,Tony Parker,San Antonio Spurs,2014,29.4,.499,.373,2.3,5.7,0.5,0.1,2.2,16.7,18.9,PG
110,Tim Duncan,San Antonio Spurs,2014,29.2,.490,.000,9.7,3.0,0.6,1.9,2.1,15.1,21.3,C
111,Kawhi Leonard,San Antonio Spurs,2014,29.1,.522,.379,6.2,2.0,1.7,0.8,1.2,12.8,19.4,SF
112,Marco Belinelli,San Antonio Spurs,2014,25.2,.485,.430,2.8,2.2,0.6,0.1,1.2,11.4,15.0,SF
113,Boris Diaw,San Antonio Spurs,2014,25.0,.521,.402,4.1,2.8,0.6,0.4,1.5,9.1,14.1,PF
114,Danny Green,San Antonio Spurs,2014,24.3,.432,.415,3.4,1.5,1.0,0.9,1.1,9.1,13.9,SG
115,Manu Ginóbili,San Antonio Spurs,2014,22.8,.469,.349,3.0,4.3,1.0,0.3,2.0,12.3,20.0,SG
116,Tiago Splitter,San Antonio Spurs,2014,21.5,.523,.000,6.2,1.5,0.5,0.5,1.3,8.2,16.5,C
117,Patty Mills,San Antonio Spurs,2014,18.9,.464,.425,2.1,1.8,0.8,0.1,0.8,10.2,18.7,PG
118,Malcolm Thomas,San Antonio Spurs,2014,15.0,.250,,9.0,0.0,0.0,2.0,1.0,2.0,6.6,PF
119,Cory Joseph,San Antonio Spurs,2014,13.8,.475,.316,1.6,1.7,0.5,0.2,0.6,5.0,14.7,SG
120,Jeff Ayres,San Antonio Spurs,2014,13.0,.580,,3.5,0.8,0.2,0.3,0.9,3.3,11.1,PF
121,Nando De Colo,San Antonio Spurs,2014,11.6,.452,.323,1.7,1.2,0.6,0.1,0.8,4.3,13.2,SF
122,Matt Bonner,San Antonio Spurs,2014,11.3,.445,.429,2.1,0.5,0.2,0.2,0.3,3.2,11.2,PF
123,Shannon Brown,San Antonio Spurs,2014,10.3,.286,.000,1.3,0.5,0.1,0.0,0.8,2.3,-0.5,SG
124,Damion James,San Antonio Spurs,2014,10.0,.222,.000,2.4,0.6,0.0,0.2,0.2,1.2,4.1,SF
125,Aron Baynes,San Antonio Spurs,2014,9.3,.436,,2.7,0.6,0.0,0.1,0.7,3.0,9.7,C
126,Othyus Jeffers,San Antonio Spurs,2014,8.5,.600,.000,1.5,0.3,0.0,0.0,0.0,1.8,8.9,SG
127,Austin Daye,San Antonio Spurs,2014,8.2,.382,.414,1.4,0.4,0.3,0.3,0.4,4.1,13.5,SF
128,LeBron James,Miami Heat,2013,37.9,.565,.406,8.0,7.3,1.7,0.9,3.0,26.8,31.6,PF
129,Dwyane Wade,Miami Heat,2013,34.7,.521,.258,5.0,5.1,1.9,0.8,2.8,21.2,24.0,SG
130,Chris Bosh,Miami Heat,2013,33.2,.535,.284,6.8,1.7,0.9,1.4,1.7,16.6,20.0,C
131,Mario Chalmers,Miami Heat,2013,26.9,.429,.409,2.2,3.5,1.5,0.2,1.5,8.6,13.3,PG
132,Ray Allen,Miami Heat,2013,25.8,.449,.419,2.7,1.7,0.8,0.2,1.3,10.9,14.7,SG
133,Shane Battier,Miami Heat,2013,24.8,.420,.430,2.3,1.0,0.6,0.8,0.5,6.6,10.7,SF
134,Norris Cole,Miami Heat,2013,19.9,.421,.357,1.6,2.1,0.7,0.1,1.3,5.6,7.9,PG
135,Udonis Haslem,Miami Heat,2013,18.9,.514,,5.4,0.5,0.4,0.2,0.6,3.9,9.9,PF
