,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
588,Isaac Bonga,LAL,2019,22,5.5,0.152,0.0,1.1,0.7,0.4,0.2,0.9,PG,6.0,0.24,-4.8,-0.059000000000000004,0
590,Chris Boucher,TOR,2019,28,5.8,0.447,0.324,2.0,0.1,0.2,0.9,3.3,PF,22.2,0.563,2.6,0.19399999999999998,1
603,Lorenzo Brown,TOR,2019,26,8.2,0.324,0.214,1.2,1.1,0.5,0.2,2.1,PG,6.3,0.38,-3.5,-0.027000000000000003,1
611,Deonte Burton,OKC,2019,32,7.5,0.402,0.29600000000000004,0.9,0.3,0.2,0.3,2.6,SG,7.0,0.47,-4.3,0.027000000000000003,1
626,Troy Caupain,ORL,2019,4,4.0,0.5,0.667,0.8,1.0,0.3,0.0,2.5,PG,30.7,0.625,13.3,0.34700000000000003,1
627,Tyler Cavanaugh,UTA,2019,11,3.5,0.3,0.2,0.7,0.1,0.0,0.0,0.8,PF,5.0,0.414,-8.4,0.026000000000000002,1
630,Joe Chealey,CHO,2019,1,8.0,0.33299999999999996,0.0,0.0,1.0,0.0,0.0,2.0,PG,2.0,0.33299999999999996,-14.6,-0.08,0
631,Chris Chiozza,HOU,2019,7,4.7,0.25,0.4,0.6,0.6,0.1,0.1,0.9,PG,7.0,0.375,-1.3,0.023,1
648,Mitch Creek,TOT,2019,5,9.6,0.5,0.0,2.4,1.2,0.4,0.0,4.2,SF,20.2,0.55,3.5,0.196,0
657,Tyler Davis,OKC,2019,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,C,0.0,0.0,-40.7,-0.47100000000000003,1
660,Ángel Delgado,LAC,2019,2,7.5,0.2,0.0,2.0,0.0,0.5,0.0,1.5,C,4.3,0.255,-12.0,-0.055,1
664,Marcus Derrickson,GSW,2019,11,6.1,0.485,0.5,1.2,0.1,0.0,0.1,4.2,PF,19.4,0.653,-2.7,0.155,1
673,PJ Dozier,BOS,2019,6,8.5,0.381,0.25,2.8,0.8,0.3,0.0,3.2,SG,16.0,0.434,-2.0,0.125,1
679,Trevon Duval,MIL,2019,3,2.0,0.667,1.0,0.3,0.7,0.0,0.0,1.7,PG,38.3,0.833,24.4,0.537,1
680,Vince Edwards,HOU,2019,2,8.0,0.25,0.25,1.0,0.0,0.0,0.0,1.5,SF,3.8,0.375,-6.4,-0.013999999999999999,1
685,Drew Eubanks,SAS,2019,23,4.9,0.5770000000000001,0.0,1.5,0.3,0.1,0.2,1.8,PF,15.1,0.6459999999999999,-1.3,0.12,1
686,Jacob Evans,GSW,2019,30,6.8,0.34,0.267,0.8,0.8,0.2,0.1,1.3,SG,3.5,0.374,-8.2,-0.03,1
687,Jawun Evans,TOT,2019,8,8.1,0.214,0.0,1.5,1.3,0.4,0.0,0.8,PG,0.1,0.214,-10.3,-0.151,0
700,Melvin Frazier,ORL,2019,10,4.4,0.33299999999999996,0.0,0.5,0.1,0.1,0.0,1.5,SG,1.2,0.33,-14.5,-0.133,1
703,Channing Frye,CLE,2019,36,9.5,0.368,0.405,1.4,0.6,0.2,0.1,3.6,C,8.9,0.524,-3.5,0.016,0
716,Brandon Goodwin,DEN,2019,16,3.6,0.261,0.33299999999999996,0.2,0.9,0.0,0.0,1.4,PG,8.3,0.413,-9.5,0.021,1
724,Donte Grantham,OKC,2019,3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,-38.1,0.0,-37.6,-0.946,1
744,Isaiah Hartenstein,HOU,2019,28,7.9,0.488,0.33299999999999996,1.7,0.5,0.3,0.4,1.9,PF,10.0,0.562,-3.9,0.10099999999999999,1
745,Udonis Haslem,MIA,2019,10,7.4,0.33299999999999996,0.0,2.7,0.2,0.0,0.0,2.5,C,3.6,0.36,-10.9,-0.075,0
753,Haywood Highsmith,PHI,2019,5,8.0,0.4,0.2,1.0,0.4,0.2,0.0,1.8,SF,4.5,0.414,-8.2,-0.023,1
760,John Holland,CLE,2019,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,0.0,-5.0,-0.032,0
775,Andre Ingram,LAL,2019,4,3.8,0.0,0.0,0.5,0.0,0.3,0.0,0.0,SG,-11.9,0.0,-19.6,-0.408,0
780,Demetrius Jackson,PHI,2019,6,6.5,0.5329999999999999,0.33299999999999996,0.5,0.8,0.3,0.0,3.7,PG,21.0,0.6559999999999999,4.5,0.231,1
787,Amile Jefferson,ORL,2019,12,5.7,0.625,0.0,1.8,0.3,0.3,0.3,2.3,PF,21.1,0.6920000000000001,2.5,0.258,1
790,Alize Johnson,IND,2019,14,4.6,0.25,0.5,1.4,0.1,0.1,0.2,0.9,PF,6.3,0.33299999999999996,-7.7,0.027000000000000003,1
792,B.J. Johnson,TOT,2019,7,7.0,0.5,0.429,1.1,0.0,0.3,0.0,3.3,SF,12.8,0.609,-4.3,0.066,0
802,Terrence Jones,HOU,2019,2,2.5,0.25,0.0,2.0,0.0,0.0,0.0,1.0,PF,-15.8,0.225,-31.1,-0.6609999999999999,1
810,George King,PHO,2019,1,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,SF,1.9,0.0,-7.9,-0.001,0
820,Skal Labissière,TOT,2019,22,8.0,0.531,0.462,2.0,0.5,0.2,0.3,3.0,PF,12.6,0.593,-3.0,0.08900000000000001,0
824,T.J. Leaf,IND,2019,58,9.0,0.541,0.258,2.2,0.4,0.2,0.3,3.9,PF,16.9,0.5720000000000001,-0.3,0.14800000000000002,1
831,Jon Leuer,DET,2019,41,9.8,0.584,0.091,2.4,0.3,0.3,0.1,3.8,PF,13.2,0.616,-2.5,0.11,1
836,Zach Lofton,DET,2019,1,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,SG,-10.0,0.0,-11.5,-0.447,1
842,Jordan Loyd,TOR,2019,12,4.6,0.444,0.5,0.8,0.5,0.0,0.0,2.4,PG,16.3,0.635,-1.0,0.19,1
843,Kalin Lucas,DET,2019,1,6.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,PG,16.6,0.532,0.8,0.23800000000000002,1
845,Tyler Lydon,DEN,2019,25,3.8,0.5,0.4,0.7,0.2,0.1,0.0,0.9,PF,9.3,0.595,-4.2,0.086,1
847,Scott Machado,LAL,2019,4,4.8,0.667,1.0,0.0,0.8,0.3,0.0,2.5,PG,22.2,0.7759999999999999,5.5,0.281,0
850,J.P. Macura,CHO,2019,2,8.5,0.33299999999999996,0.0,1.5,1.0,0.0,0.0,3.0,SG,5.7,0.33299999999999996,-7.7,-0.11,0
855,Jarell Martin,ORL,2019,42,7.8,0.413,0.35100000000000003,1.7,0.4,0.1,0.2,2.7,PF,9.4,0.528,-3.9,0.073,1
857,Yante Maten,MIA,2019,2,6.5,0.25,0.0,1.5,0.0,0.5,0.0,1.0,PF,5.7,0.25,-9.2,-0.026000000000000002,0
860,Tahjere McCall,BRK,2019,1,8.0,0.667,0.0,1.0,0.0,0.0,0.0,4.0,SG,9.6,0.581,-6.6,0.055,1
868,Ben McLemore,SAC,2019,19,8.3,0.391,0.415,0.9,0.2,0.3,0.2,3.9,SG,10.5,0.541,-3.5,0.055,0
873,Chimezie Metu,SAS,2019,29,5.0,0.32799999999999996,0.0,1.2,0.4,0.2,0.1,1.8,PF,6.4,0.389,-8.7,-0.099,1
877,Malcolm Miller,TOR,2019,10,6.7,0.423,0.47600000000000003,0.5,0.1,0.1,0.1,3.5,SF,13.7,0.63,-0.5,0.13,1
883,Naz Mitrou-Long,UTA,2019,14,6.0,0.3,0.182,0.4,1.1,0.1,0.1,1.1,SG,2.2,0.38299999999999995,-8.7,-0.046,1
887,Eric Moreland,TOT,2019,5,8.6,0.429,1.0,4.0,0.8,0.2,0.2,1.4,PF,6.7,0.5,-4.7,0.032,0
888,Jaylen Morris,MIL,2019,4,7.3,0.4,0.33299999999999996,1.3,1.0,0.5,0.0,2.5,SG,12.2,0.46,-0.4,0.084,1
892,Donatas Motiejūnas,SAS,2019,3,4.3,0.5,0.0,1.0,0.3,0.0,0.3,2.0,PF,-0.5,0.436,-21.7,-0.24600000000000002,1
893,Johnathan Motley,LAC,2019,22,7.1,0.534,0.0,2.3,0.5,0.2,0.1,4.6,PF,18.9,0.563,-1.9,0.092,1
896,Džanan Musa,BRK,2019,9,4.3,0.409,0.1,0.6,0.2,0.2,0.0,2.1,SG,5.8,0.415,-7.2,-0.152,1
903,Georges Niang,UTA,2019,59,8.7,0.475,0.41,1.5,0.6,0.2,0.1,4.0,PF,13.0,0.613,0.0,0.12300000000000001,1
908,James Nunnally,TOT,2019,15,6.8,0.353,0.32,0.3,0.5,0.1,0.0,2.4,SF,7.3,0.503,-4.8,0.035,0
912,Kyle O'Quinn,IND,2019,45,8.2,0.507,0.083,2.6,1.2,0.2,0.6,3.5,C,16.8,0.537,0.4,0.125,1
926,Justin Patton,PHI,2019,3,7.0,0.28600000000000003,0.0,2.0,1.0,0.7,0.0,1.7,C,10.5,0.317,-2.0,0.079,1
930,Gary Payton II,WAS,2019,3,5.3,0.625,0.5,0.7,1.3,1.0,0.3,3.7,PG,36.9,0.688,18.9,0.358,0
933,Miles Plumlee,ATL,2019,18,9.6,0.667,0.0,2.2,0.9,0.3,0.2,4.4,C,18.9,0.654,1.6,0.145,0
935,Quincy Pondexter,SAS,2019,53,5.5,0.5,0.33299999999999996,0.9,0.5,0.2,0.0,1.8,SF,13.2,0.6409999999999999,-0.9,0.128,1
942,Zhou Qi,HOU,2019,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,PF,80.4,1.0,52.0,1.261,1
947,Davon Reed,IND,2019,10,4.7,0.41700000000000004,0.5,0.6,0.3,0.1,0.0,1.2,SG,8.1,0.5,-5.5,0.064,1
950,Malachi Richardson,TOR,2019,22,4.7,0.31,0.32,0.6,0.0,0.0,0.0,1.4,SG,0.9,0.48100000000000004,-8.8,-0.06,1
955,Jerome Robinson,LAC,2019,33,9.7,0.4,0.316,1.2,0.6,0.3,0.1,3.4,SG,7.2,0.491,-4.7,0.012,1
976,Jordan Sibert,ATL,2019,1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,SG,29.7,1.5,16.0,0.183,0
979,Kobi Simmons,CLE,2019,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG,0.0,0.0,-10.6,-0.033,0
980,Anfernee Simons,POR,2019,20,7.1,0.444,0.345,0.7,0.7,0.1,0.0,3.8,SG,11.1,0.535,-5.3,0.02,1
985,Jason Smith,TOT,2019,20,9.5,0.35600000000000004,0.34600000000000003,2.6,0.7,0.2,0.4,3.3,C-PF,9.8,0.49200000000000005,-4.7,0.038,0
991,D.J. Stephens,MEM,2019,1,7.0,0.5,0.0,0.0,0.0,1.0,0.0,2.0,SG,5.5,0.5,-5.5,-0.11900000000000001,0
993,Edmond Sumner,IND,2019,23,9.1,0.344,0.259,1.0,0.4,0.5,0.2,2.9,PG,7.6,0.44299999999999995,-5.3,0.02,1
994,Caleb Swanigan,TOT,2019,21,8.5,0.34,0.14300000000000002,3.0,0.5,0.3,0.0,2.0,PF,4.7,0.377,-7.2,-0.06,0
999,Jared Terrell,MIN,2019,14,7.9,0.308,0.235,0.4,0.9,0.2,0.1,2.2,SG,0.7,0.37200000000000005,-10.9,-0.14,0
1000,Emanuel Terry,TOT,2019,3,7.7,0.5710000000000001,0.0,2.3,0.7,1.0,0.0,3.3,PF,19.7,0.5710000000000001,2.3,0.11699999999999999,0
1003,Khyri Thomas,DET,2019,26,7.5,0.319,0.28600000000000003,0.8,0.3,0.3,0.2,2.3,SG,6.2,0.413,-5.0,0.005,1
1007,Sindarius Thornwell,LAC,2019,64,4.9,0.34700000000000003,0.2,0.7,0.3,0.2,0.1,1.0,SG,5.2,0.485,-4.7,0.004,1
1010,Gary Trent Jr.,POR,2019,15,7.4,0.32,0.23800000000000002,0.7,0.3,0.1,0.1,2.7,SG,3.6,0.377,-10.8,-0.092,1
