,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
93,Willie Cauley-Stein,TOT,2020,54,20.3,.579,.000,5.8,1.3,0.9,1.1,7.2,C,17.0,.589,0.5,.128,0
94,Tyson Chandler,HOU,2020,26,8.4,.778,,2.5,0.2,0.2,0.3,1.3,C,10.8,.717,-1.5,.131,1
95,Wilson Chandler,BRK,2020,35,21.0,.404,.306,4.1,1.1,0.5,0.3,5.9,PF,7.4,.531,-2.7,.046,1
96,Joe Chealey,CHO,2020,4,8.3,.000,.000,0.0,0.3,1.0,0.0,0.5,PG,-2.9,.127,-12.5,-0.188,0
97,Zylan Cheatham,NOP,2020,4,12.8,.667,.000,2.3,0.8,0.3,0.3,3.0,PF,6.7,.667,-7.1,.034,0
98,Chris Chiozza,TOT,2020,28,14.3,.393,.375,1.9,3.0,0.8,0.1,5.1,PG,12.0,.499,-1.2,.055,0
99,Marquese Chriss,GSW,2020,59,20.3,.545,.205,6.2,1.9,0.7,1.1,9.3,PF,19.5,.604,0.6,.136,0
100,Gary Clark,TOT,2020,42,13.5,.406,.351,2.6,0.4,0.1,0.5,3.7,SF-PF,10.7,.568,-1.9,.100,0
101,Brandon Clarke,MEM,2020,58,22.4,.618,.359,5.9,1.4,0.6,0.8,12.1,PF,20.9,.663,3.1,.183,0
102,Jordan Clarkson,TOT,2020,71,24.0,.454,.368,2.6,1.9,0.6,0.2,15.2,SG,17.3,.574,1.1,.096,0
103,Nicolas Claxton,BRK,2020,15,12.5,.563,.143,2.9,1.1,0.1,0.5,4.4,C,14.8,.577,-0.6,.121,1
104,Chris Clemons,HOU,2020,33,8.8,.401,.346,0.9,0.8,0.3,0.2,4.9,SG,13.1,.548,-1.0,.058,1
105,Antonius Cleveland,DAL,2020,11,4.2,.286,.000,0.6,0.1,0.1,0.3,1.0,SG,2.5,.340,-10.1,-0.076,1
