,name,team,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
155,Ronny Turiaf,Miami Heat,17.0,.533,.000,4.5,0.4,0.6,1.1,0.6,3.5
156,Terrel Harris,Miami Heat,14.5,.349,.205,2.3,1.2,0.4,0.1,1.1,3.6
157,James Jones,Miami Heat,13.1,.380,.404,1.0,0.4,0.3,0.2,0.2,3.6
158,Dexter Pittman,Miami Heat,8.6,.468,,2.0,0.3,0.2,0.2,0.5,3.0
159,Juwan Howard,Miami Heat,6.8,.309,,1.7,0.4,0.1,0.0,0.7,1.5
160,Eddy Curry,Miami Heat,5.9,.462,,0.9,0.1,0.0,0.1,0.7,2.1
161,Mickell Gladness,Miami Heat,3.5,.333,,1.4,0.3,0.1,0.1,0.4,0.3
162,Dirk Nowitzki,Dallas Mavericks,34.3,.517,.393,7.0,2.6,0.5,0.6,1.9,23.0
163,Jason Kidd,Dallas Mavericks,33.2,.361,.340,4.4,8.2,1.7,0.4,2.2,7.9
164,Jason Terry,Dallas Mavericks,31.3,.451,.362,1.9,4.1,1.1,0.2,2.0,15.8
165,Caron Butler,Dallas Mavericks,29.9,.450,.431,4.1,1.6,1.0,0.3,1.7,15.0
166,Shawn Marion,Dallas Mavericks,28.2,.520,.152,6.9,1.4,0.9,0.6,1.6,12.5
167,Tyson Chandler,Dallas Mavericks,27.8,.654,,9.4,0.4,0.5,1.1,1.2,10.1
168,J.J. Barea,Dallas Mavericks,20.6,.439,.349,2.0,3.9,0.4,0.0,1.7,9.5
169,Peja Stojaković,Dallas Mavericks,20.2,.429,.400,2.6,0.9,0.4,0.1,0.4,8.6
170,Brendan Haywood,Dallas Mavericks,18.5,.574,.000,5.2,0.3,0.2,1.0,0.7,4.4
171,Rodrigue Beaubois,Dallas Mavericks,17.7,.422,.301,1.9,2.3,0.7,0.3,1.7,8.4
172,Sasha Pavlović,Dallas Mavericks,16.3,.429,.438,1.2,0.7,0.5,0.3,0.5,4.1
173,DeShawn Stevenson,Dallas Mavericks,16.1,.388,.378,1.5,1.1,0.3,0.1,0.6,5.3
174,Corey Brewer,Dallas Mavericks,11.4,.490,.308,1.8,0.9,0.8,0.2,0.8,5.3
175,Brian Cardinal,Dallas Mavericks,11.0,.430,.483,1.1,0.7,0.4,0.1,0.3,2.6
176,Ian Mahinmi,Dallas Mavericks,8.7,.561,.000,2.1,0.1,0.3,0.3,0.4,3.1
177,Dominique Jones,Dallas Mavericks,7.5,.311,.000,1.4,1.1,0.3,0.2,0.6,2.3
178,Alexis Ajinça,Dallas Mavericks,7.5,.375,.429,1.7,0.2,0.3,0.5,0.1,2.9
179,Steve Novak,Dallas Mavericks,2.6,.500,.750,0.7,0.0,0.0,0.0,0.0,1.6
180,Kobe Bryant,Los Angeles Lakers,38.8,.456,.329,5.4,5.0,1.5,0.3,3.2,27.0
181,Pau Gasol,Los Angeles Lakers,37.0,.536,.000,11.3,3.4,0.6,1.7,2.2,18.3
182,Metta World Peace,Los Angeles Lakers,33.8,.414,.355,4.3,3.0,1.4,0.3,1.6,11.0
183,Lamar Odom,Los Angeles Lakers,31.5,.463,.319,9.8,3.3,0.9,0.7,1.8,10.8
184,Andrew Bynum,Los Angeles Lakers,30.4,.570,.000,8.3,1.0,0.5,1.4,1.8,15.0
185,Derek Fisher,Los Angeles Lakers,27.2,.380,.348,2.1,2.5,1.1,0.1,1.0,7.5
186,Shannon Brown,Los Angeles Lakers,20.7,.427,.328,2.2,1.3,0.7,0.4,0.8,8.1
187,Jordan Farmar,Los Angeles Lakers,18.0,.435,.376,1.6,1.5,0.6,0.1,0.9,7.2
188,Luke Walton,Los Angeles Lakers,9.4,.357,.412,1.3,1.4,0.3,0.0,0.4,2.4
189,Josh Powell,Los Angeles Lakers,9.2,.366,.438,1.8,0.6,0.1,0.1,0.5,2.7
190,Sasha Vujačić,Los Angeles Lakers,8.6,.402,.309,1.2,0.6,0.3,0.1,0.3,2.8
191,Adam Morrison,Los Angeles Lakers,7.8,.376,.238,1.0,0.6,0.1,0.1,0.3,2.4
192,Didier Ilunga-Mbenga,Los Angeles Lakers,7.2,.466,,1.8,0.2,0.1,0.6,0.3,2.1
193,Pau Gasol,Los Angeles Lakers,37.0,.567,.500,9.6,3.5,0.6,1.0,1.9,18.9
194,Kobe Bryant,Los Angeles Lakers,36.1,.467,.351,5.2,4.9,1.5,0.5,2.6,26.8
195,Derek Fisher,Los Angeles Lakers,29.8,.424,.397,2.3,3.2,1.2,0.1,0.9,9.9
196,Lamar Odom,Los Angeles Lakers,29.7,.492,.320,8.2,2.6,1.0,1.3,1.8,11.3
197,Andrew Bynum,Los Angeles Lakers,28.9,.560,,8.0,1.4,0.4,1.8,1.7,14.3
198,Trevor Ariza,Los Angeles Lakers,24.4,.460,.319,4.3,1.8,1.7,0.3,1.1,8.9
199,Jordan Farmar,Los Angeles Lakers,18.3,.391,.336,1.8,2.4,0.9,0.2,1.3,6.4
200,Luke Walton,Los Angeles Lakers,17.9,.436,.298,2.8,2.7,0.5,0.2,1.1,5.0
201,Vladimir Radmanović,Los Angeles Lakers,16.8,.444,.441,2.5,0.8,0.6,0.2,1.0,5.9
202,Sasha Vujačić,Los Angeles Lakers,16.2,.387,.363,1.7,1.4,1.0,0.1,0.4,5.8
203,Josh Powell,Los Angeles Lakers,11.7,.444,,2.9,0.5,0.2,0.3,0.9,4.2
204,Didier Ilunga-Mbenga,Los Angeles Lakers,7.9,.474,.000,1.3,0.4,0.4,1.0,0.6,2.7
205,Shannon Brown,Los Angeles Lakers,7.6,.524,.667,1.1,0.6,0.2,0.1,0.5,3.2
206,Chris Mihm,Los Angeles Lakers,5.8,.375,,1.9,0.6,0.1,0.3,0.6,2.0
207,Adam Morrison,Los Angeles Lakers,5.5,.333,.250,1.0,0.4,0.0,0.0,0.4,1.3
208,Sun Yue,Los Angeles Lakers,2.8,.273,.000,0.0,0.2,0.1,0.1,0.3,0.6
209,Ray Allen,Boston Celtics,35.9,.445,.398,3.7,3.1,0.9,0.2,1.7,17.4
210,Paul Pierce,Boston Celtics,35.9,.464,.392,5.1,4.5,1.3,0.5,2.8,19.6
211,Kevin Garnett,Boston Celtics,32.8,.539,.000,9.2,3.4,1.4,1.3,1.9,18.8
212,Rajon Rondo,Boston Celtics,29.9,.492,.263,4.2,5.1,1.7,0.2,1.9,10.6
213,James Posey,Boston Celtics,24.6,.418,.380,4.4,1.5,1.0,0.3,0.9,7.4
214,Kendrick Perkins,Boston Celtics,24.5,.615,.000,6.1,1.1,0.4,1.5,1.6,6.9
215,Eddie House,Boston Celtics,19.0,.409,.393,2.1,1.9,0.8,0.1,1.0,7.5
216,Tony Allen,Boston Celtics,18.3,.434,.316,2.2,1.5,0.8,0.3,1.5,6.6
217,Sam Cassell,Boston Celtics,17.6,.385,.409,1.8,2.1,0.5,0.2,1.1,7.6
218,Leon Powe,Boston Celtics,14.4,.572,.000,4.1,0.3,0.3,0.3,0.8,7.9
219,Glen Davis,Boston Celtics,13.6,.484,,3.0,0.4,0.4,0.3,0.9,4.5
220,P.J. Brown,Boston Celtics,11.6,.341,.000,3.8,0.6,0.3,0.4,0.6,2.2
221,Brian Scalabrine,Boston Celtics,10.7,.309,.326,1.6,0.8,0.2,0.2,0.5,1.8
222,Scot Pollard,Boston Celtics,7.9,.522,,1.7,0.1,0.1,0.3,0.2,1.8
223,Gabe Pruitt,Boston Celtics,6.3,.359,.250,0.5,0.9,0.3,0.0,0.3,2.1
224,Tim Duncan,San Antonio Spurs,34.1,.546,.111,10.6,3.4,0.8,2.4,2.8,20.0
225,Tony Parker,San Antonio Spurs,32.5,.520,.395,3.2,5.5,1.1,0.1,2.5,18.6
226,Bruce Bowen,San Antonio Spurs,30.0,.405,.384,2.7,1.4,0.8,0.3,0.8,6.2
227,Manu Ginóbili,San Antonio Spurs,27.5,.464,.396,4.4,3.5,1.5,0.4,2.1,16.5
228,James White,San Antonio Spurs,22.8,.439,.286,3.3,0.8,0.5,0.2,0.8,8.3
229,Michael Finley,San Antonio Spurs,22.2,.412,.364,2.7,1.3,0.4,0.2,0.6,9.0
230,Brent Barry,San Antonio Spurs,21.7,.475,.446,2.1,1.8,0.7,0.2,0.8,8.5
231,Francisco Elson,San Antonio Spurs,19.0,.511,.000,4.8,0.8,0.4,0.8,1.2,5.0
232,Fabricio Oberto,San Antonio Spurs,17.3,.562,,4.7,0.9,0.3,0.3,0.9,4.4
233,Robert Horry,San Antonio Spurs,16.5,.359,.336,3.4,1.1,0.7,0.6,0.6,3.9
234,Beno Udrih,San Antonio Spurs,13.0,.369,.287,1.1,1.7,0.4,0.0,0.8,4.7
235,Jacque Vaughn,San Antonio Spurs,11.9,.425,.500,1.1,2.0,0.4,0.0,0.6,3.0
236,Matt Bonner,San Antonio Spurs,11.7,.447,.383,2.8,0.4,0.3,0.2,0.4,4.9
237,Melvin Ely,San Antonio Spurs,10.8,.300,,2.3,0.7,0.7,0.3,0.8,3.2
238,Jackie Butler,San Antonio Spurs,9.4,.457,,2.0,0.5,0.2,0.0,0.9,3.7
239,Eric Williams,San Antonio Spurs,5.5,.441,.471,0.9,0.4,0.1,0.0,0.3,2.6
