,name,team,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
577,Dennis Johnson,Boston Celtics,33.3,.437,.125,3.5,4.2,1.2,0.7,2.2,13.2
578,Kevin McHale,Boston Celtics,31.4,.556,.333,7.4,1.3,0.3,1.5,1.8,18.4
579,Cedric Maxwell,Boston Celtics,31.3,.532,.167,5.8,2.6,0.8,0.3,2.5,11.9
580,Gerald Henderson,Boston Celtics,26.8,.524,.351,1.9,3.8,1.5,0.2,2.1,11.6
581,Danny Ainge,Boston Celtics,16.3,.460,.273,1.6,2.3,0.6,0.1,1.0,5.4
582,Quinn Buckner,Boston Celtics,15.8,.427,.000,1.7,2.7,1.1,0.0,1.3,4.1
583,Scott Wedman,Boston Celtics,13.5,.444,.154,2.0,1.0,0.4,0.1,0.6,4.8
584,M.L. Carr,Boston Celtics,9.8,.409,.200,1.3,0.8,0.3,0.1,0.8,3.1
585,Greg Kite,Boston Celtics,5.6,.455,,1.8,0.2,0.0,0.1,0.6,1.9
586,Carlos Clark,Boston Celtics,4.1,.365,.000,0.5,0.5,0.3,0.0,0.4,1.7
587,Moses Malone,Philadelphia 76ers,37.5,.501,.000,15.3,1.3,1.1,2.0,3.4,24.5
588,Julius Erving,Philadelphia 76ers,33.6,.517,.286,6.8,3.7,1.6,1.8,2.7,21.4
589,Maurice Cheeks,Philadelphia 76ers,31.2,.542,.167,2.6,6.9,2.3,0.4,2.3,12.5
590,Andrew Toney,Philadelphia 76ers,30.5,.501,.289,2.8,4.5,1.0,0.2,3.3,19.7
591,Bobby Jones,Philadelphia 76ers,23.6,.543,.000,4.6,1.9,1.1,1.2,1.5,9.0
592,Clint Richardson,Philadelphia 76ers,22.8,.463,.000,3.2,2.2,0.9,0.2,1.3,7.6
593,Clemon Johnson,Philadelphia 76ers,21.8,.500,,6.4,0.8,0.5,0.9,1.1,6.8
594,Marc Iavaroni,Philadelphia 76ers,20.2,.462,.000,4.1,1.0,0.4,0.6,1.7,5.1
595,Reggie Johnson,Philadelphia 76ers,18.9,.448,,3.1,0.8,0.3,0.6,1.2,5.5
596,Franklin Edwards,Philadelphia 76ers,15.6,.472,.000,1.0,2.7,1.0,0.1,1.4,6.7
597,Russ Schoene,Philadelphia 76ers,15.3,.512,.000,3.3,0.7,0.3,0.2,1.0,5.1
598,Earl Cureton,Philadelphia 76ers,13.5,.419,,3.7,0.6,0.5,0.3,1.0,3.4
599,Mark McNamara,Philadelphia 76ers,5.1,.453,,2.1,0.2,0.1,0.1,1.0,2.2
600,J.J. Anderson,Philadelphia 76ers,3.7,.364,.000,0.9,0.1,0.1,0.0,0.4,1.3
601,Magic Johnson,Los Angeles Lakers,38.3,.537,.207,9.6,9.5,2.7,0.4,3.7,18.6
602,Norm Nixon,Los Angeles Lakers,36.9,.493,.250,2.1,8.0,1.6,0.1,2.9,17.6
603,Jamaal Wilkes,Los Angeles Lakers,35.4,.525,.000,4.8,1.7,1.1,0.3,2.0,21.1
604,Kareem Abdul-Jabbar,Los Angeles Lakers,35.2,.579,.000,8.7,3.0,0.8,2.7,3.0,23.9
605,Mitch Kupchak,Los Angeles Lakers,31.6,.573,,8.1,1.3,0.5,0.4,1.7,14.3
606,Michael Cooper,Los Angeles Lakers,28.9,.517,.118,3.5,3.0,1.6,0.8,2.0,11.9
607,Bob McAdoo,Los Angeles Lakers,18.2,.458,.000,3.9,0.8,0.5,0.9,1.2,9.6
608,Kurt Rambis,Los Angeles Lakers,17.7,.518,.000,5.4,0.9,0.9,1.2,1.2,4.6
609,Mark Landsberger,Los Angeles Lakers,15.1,.438,.000,5.3,0.4,0.1,0.1,0.7,4.3
610,Jim Brewer,Los Angeles Lakers,13.6,.463,.167,3.7,0.6,0.5,0.6,0.5,2.4
611,Eddie Jordan,Los Angeles Lakers,10.5,.428,.111,0.7,2.3,1.1,0.0,1.1,3.8
612,Clay Johnson,Los Angeles Lakers,9.3,.550,,1.7,1.0,0.4,0.4,1.0,3.6
613,Mike McGee,Los Angeles Lakers,9.0,.465,.000,1.3,0.4,0.5,0.1,0.9,4.9
614,Kevin McKenna,Los Angeles Lakers,6.6,.322,.000,0.8,0.4,0.3,0.1,0.6,1.9
615,Larry Bird,Boston Celtics,39.5,.478,.270,10.9,5.5,2.0,0.8,3.5,21.2
616,Tiny Archibald,Boston Celtics,35.3,.499,.000,2.2,7.7,0.9,0.2,3.3,13.8
617,Cedric Maxwell,Boston Celtics,33.7,.588,.000,6.5,2.7,1.0,0.8,2.2,15.2
618,Chris Ford,Boston Celtics,33.2,.444,.330,2.0,3.6,1.2,0.3,1.5,8.9
619,Robert Parish,Boston Celtics,28.0,.545,.000,9.5,1.8,1.0,2.6,2.3,18.9
620,Kevin McHale,Boston Celtics,20.1,.533,.000,4.4,0.7,0.3,1.8,1.3,10.0
621,Gerald Henderson,Boston Celtics,19.6,.451,.063,1.6,2.6,1.0,0.1,2.0,7.8
622,Rick Robey,Boston Celtics,19.1,.545,.000,4.8,1.5,0.5,0.2,1.7,9.0
623,M.L. Carr,Boston Celtics,16.0,.449,.071,2.0,1.4,0.7,0.4,1.1,6.0
624,Eric Fernsten,Boston Celtics,6.2,.481,,1.4,0.2,0.1,0.2,0.4,2.1
625,Wayne Kreklow,Boston Celtics,4.0,.234,.250,0.5,0.4,0.1,0.0,0.4,1.2
626,Terry Duerod,Boston Celtics,3.6,.411,.600,0.2,0.2,0.2,0.0,0.3,2.5
627,Norm Nixon,Los Angeles Lakers,39.3,.516,.125,2.8,7.8,1.8,0.2,3.5,17.6
628,Kareem Abdul-Jabbar,Los Angeles Lakers,38.3,.604,.000,10.8,4.5,1.0,3.4,3.6,24.8
629,Jamaal Wilkes,Los Angeles Lakers,37.9,.535,.176,6.4,3.0,1.6,0.3,1.9,20.0
630,Magic Johnson,Los Angeles Lakers,36.3,.530,.226,7.7,7.3,2.4,0.5,4.0,18.0
631,Jim Chones,Los Angeles Lakers,29.2,.489,.000,6.9,1.8,0.7,0.8,2.1,10.6
632,Michael Cooper,Los Angeles Lakers,24.1,.524,.250,2.8,2.7,1.0,0.5,1.7,8.8
633,Spencer Haywood,Los Angeles Lakers,20.3,.487,.250,4.6,1.2,0.5,0.8,1.8,9.7
634,Ron Boone,Los Angeles Lakers,17.7,.350,,1.8,1.2,0.8,0.0,2.2,5.7
635,Mark Landsberger,Los Angeles Lakers,16.3,.482,,7.1,0.6,0.4,0.2,1.1,7.0
636,Kenny Carr,Los Angeles Lakers,11.4,.438,,3.4,0.2,0.4,0.2,1.8,3.2
637,Don Ford,Los Angeles Lakers,11.2,.508,.000,1.9,0.7,0.2,0.3,0.6,3.0
638,Marty Byrnes,Los Angeles Lakers,6.1,.500,,0.8,0.4,0.2,0.0,0.7,2.0
639,Ollie Mack,Los Angeles Lakers,5.7,.420,.000,0.8,0.7,0.1,0.0,0.3,1.9
640,Brad Holland,Los Angeles Lakers,5.2,.423,.200,0.4,0.6,0.4,0.0,0.3,2.8
641,Butch Lee,Los Angeles Lakers,2.8,.308,,0.7,0.8,0.1,0.0,0.6,1.3
