,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
339,Patty Mills,SAS,2020,66,22.5,0.431,0.382,1.6,1.8,0.8,0.1,11.6,PG,14.8,0.5920000000000001,0.0,0.091,0
340,Paul Millsap,DEN,2020,51,24.3,0.48200000000000004,0.435,5.7,1.6,0.9,0.6,11.6,PF,16.9,0.591,0.1,0.136,1
341,Shake Milton,PHI,2020,40,20.1,0.484,0.43,2.2,2.6,0.5,0.2,9.4,SG,14.4,0.617,-1.0,0.126,1
345,Malik Monk,CHO,2020,55,21.3,0.434,0.284,2.9,2.1,0.5,0.3,10.3,SG,12.6,0.53,-2.3,0.027999999999999997,0
351,Markieff Morris,TOT,2020,58,20.5,0.44299999999999995,0.386,3.8,1.3,0.5,0.3,9.7,PF,12.5,0.565,-2.0,0.057999999999999996,0
352,Monte Morris,DEN,2020,73,22.4,0.45899999999999996,0.37799999999999995,1.9,3.5,0.8,0.2,9.0,PG,14.9,0.545,-0.2,0.11199999999999999,1
356,Dejounte Murray,SAS,2020,66,25.6,0.462,0.369,5.8,4.1,1.7,0.3,10.9,PG,16.2,0.524,0.4,0.07400000000000001,0
360,Sviatoslav Mykhailiuk,DET,2020,56,22.6,0.41,0.40399999999999997,1.9,1.9,0.7,0.1,9.0,SF,11.2,0.578,-1.9,0.06,0
362,Larry Nance Jr.,CLE,2020,56,26.3,0.531,0.35200000000000004,7.3,2.2,1.0,0.4,10.1,PF,17.3,0.608,1.7,0.128,0
363,Shabazz Napier,TOT,2020,56,24.0,0.41200000000000003,0.317,2.8,4.7,1.2,0.2,10.3,PG,13.8,0.552,-1.1,0.059000000000000004,0
371,Frank Ntilikina,NYK,2020,57,20.8,0.39299999999999996,0.321,2.1,3.0,0.9,0.3,6.3,PG,9.8,0.49700000000000005,-3.2,0.037000000000000005,0
372,Kendrick Nunn,MIA,2020,67,29.3,0.439,0.35,2.7,3.3,0.8,0.2,15.3,PG,12.9,0.534,-2.3,0.049,1
375,Royce O'Neale,UTA,2020,71,28.9,0.433,0.377,5.5,2.5,0.8,0.5,6.3,SF,9.5,0.578,0.9,0.10099999999999999,1
380,Josh Okogie,MIN,2020,62,25.0,0.42700000000000005,0.266,4.3,1.6,1.1,0.4,8.6,SG,11.5,0.5529999999999999,-2.4,0.068,0
385,Cedi Osman,CLE,2020,65,29.4,0.43700000000000006,0.38299999999999995,3.6,2.4,0.8,0.2,11.0,SF,10.7,0.552,-2.6,0.04,0
389,Jabari Parker,TOT,2020,38,24.1,0.51,0.26899999999999996,5.6,1.8,1.2,0.4,14.0,PF,18.0,0.5710000000000001,0.3,0.083,0
391,Eric Paschall,GSW,2020,60,27.6,0.49700000000000005,0.287,4.6,2.1,0.5,0.2,14.0,PF,14.5,0.5710000000000001,-2.7,0.062,0
397,Elfrid Payton,NYK,2020,45,27.7,0.439,0.203,4.7,7.2,1.6,0.4,10.0,PG,16.0,0.47,0.0,0.065,0
405,Jordan Poole,GSW,2020,57,22.4,0.33299999999999996,0.27899999999999997,2.1,2.4,0.6,0.2,8.8,SG,7.2,0.45399999999999996,-6.6,-0.047,0
