,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
280,Rodions Kurucs,BRK,2020,47,14.6,0.446,0.36700000000000005,2.9,1.1,0.5,0.1,4.6,PF,8.9,0.555,-2.8,0.055,1
282,Skal Labissière,POR,2020,33,17.2,0.551,0.231,5.1,1.3,0.2,0.9,5.8,C,15.4,0.588,-1.3,0.11900000000000001,1
284,Romeo Langford,BOS,2020,32,11.6,0.35,0.185,1.3,0.4,0.3,0.3,2.5,SG,5.4,0.434,-4.9,0.025,1
290,Courtney Lee,DAL,2020,24,14.4,0.488,0.447,1.3,0.5,0.8,0.3,4.5,SG,10.8,0.629,-0.6,0.092,1
292,Alex Len,TOT,2020,55,17.6,0.555,0.271,5.8,0.9,0.4,0.9,8.0,C,17.7,0.6,-0.7,0.122,0
297,Nassir Little,POR,2020,48,11.9,0.43,0.237,2.3,0.5,0.3,0.3,3.6,PF,9.6,0.505,-3.5,0.047,1
298,Kevon Looney,GSW,2020,20,13.1,0.36700000000000005,0.071,3.3,1.0,0.6,0.3,3.4,C,9.4,0.40299999999999997,-5.6,0.006,0
300,Robin Lopez,MIL,2020,66,14.5,0.49200000000000005,0.33299999999999996,2.4,0.7,0.2,0.7,5.4,C,10.2,0.5539999999999999,-2.6,0.077,1
303,Timothé Luwawu-Cabarrot,BRK,2020,47,18.1,0.435,0.38799999999999996,2.7,0.6,0.4,0.1,7.8,SF,11.0,0.599,-2.2,0.095,1
309,Thon Maker,DET,2020,60,12.9,0.48200000000000004,0.344,2.8,0.7,0.4,0.7,4.7,C,13.7,0.5820000000000001,-1.4,0.096,0
313,Caleb Martin,CHO,2020,18,17.6,0.44,0.541,2.1,1.3,0.7,0.4,6.2,SF,12.0,0.595,-1.0,0.081,0
314,Cody Martin,CHO,2020,48,18.8,0.43,0.23399999999999999,3.3,2.0,0.8,0.2,5.0,SF,10.5,0.505,-2.2,0.052000000000000005,0
316,Kelan Martin,MIN,2020,31,16.0,0.392,0.26,3.1,0.7,0.2,0.3,6.4,SF,9.2,0.506,-4.3,0.023,0
318,Garrison Mathews,WAS,2020,18,12.6,0.429,0.413,1.3,0.6,0.4,0.1,5.4,SG,13.1,0.691,-1.1,0.131,0
323,T.J. McConnell,IND,2020,71,18.7,0.516,0.294,2.7,5.0,0.8,0.2,6.5,PG,16.5,0.54,0.5,0.121,1
324,Jalen McDaniels,CHO,2020,16,18.3,0.47100000000000003,0.375,4.1,0.8,0.5,0.2,5.6,SF,10.7,0.574,-3.3,0.078,0
325,Doug McDermott,IND,2020,69,19.9,0.488,0.435,2.5,1.1,0.2,0.1,10.3,PF,14.4,0.62,0.0,0.11699999999999999,1
326,JaVale McGee,LAL,2020,68,16.6,0.637,0.5,5.7,0.5,0.5,1.4,6.6,C,19.4,0.652,1.5,0.198,1
327,Rodney McGruder,LAC,2020,56,15.6,0.39799999999999996,0.27,2.7,0.6,0.5,0.1,3.3,SG,6.7,0.47700000000000004,-3.0,0.055,1
328,Alfonzo McKinnie,CLE,2020,40,14.8,0.42700000000000005,0.215,2.8,0.4,0.6,0.2,4.6,SF,8.7,0.493,-5.3,0.013999999999999999,0
329,Jordan McLaughlin,MIN,2020,30,19.7,0.489,0.382,1.6,4.2,1.1,0.1,7.6,PG,16.3,0.5870000000000001,0.3,0.13,0
332,Nicolò Melli,NOP,2020,60,17.4,0.42100000000000004,0.335,3.0,1.4,0.6,0.4,6.6,C,11.4,0.556,-1.3,0.08199999999999999,0
333,De'Anthony Melton,MEM,2020,60,19.5,0.401,0.28600000000000003,3.7,2.9,1.3,0.3,7.6,PG,13.5,0.501,-0.2,0.07200000000000001,0
344,Adam Mokoka,CHI,2020,11,10.2,0.429,0.4,0.9,0.4,0.4,0.0,2.9,SF,8.2,0.5379999999999999,-4.1,0.073,0
347,E'Twaun Moore,NOP,2020,56,18.2,0.426,0.377,2.3,1.4,0.6,0.2,8.3,SG,11.3,0.51,-2.7,0.043,0
354,Emmanuel Mudiay,UTA,2020,54,15.7,0.462,0.345,2.3,2.1,0.4,0.2,7.3,PG,13.0,0.5429999999999999,-1.9,0.057,1
358,Džanan Musa,BRK,2020,40,12.2,0.37200000000000005,0.244,2.2,1.1,0.4,0.0,4.8,SF,9.4,0.484,-4.4,0.016,1
359,Mike Muscala,OKC,2020,47,12.2,0.40700000000000003,0.37799999999999995,2.3,0.9,0.2,0.3,4.8,C,12.5,0.569,-0.1,0.107,1
361,Abdel Nader,OKC,2020,55,15.8,0.46799999999999997,0.375,1.8,0.7,0.4,0.4,6.3,SF,11.3,0.591,-1.0,0.07400000000000001,1
364,Raul Neto,PHI,2020,54,12.4,0.455,0.386,1.1,1.8,0.4,0.1,5.1,PG,12.7,0.5670000000000001,-1.8,0.083,1
366,Georges Niang,UTA,2020,66,14.0,0.43799999999999994,0.4,1.9,0.7,0.3,0.1,5.9,PF,11.7,0.589,-0.1,0.092,1
368,Nerlens Noel,OKC,2020,61,18.5,0.684,0.33299999999999996,4.9,0.9,1.0,1.5,7.4,C,20.4,0.711,3.1,0.209,1
370,Jaylen Nowell,MIN,2020,15,10.1,0.358,0.115,0.9,1.3,0.2,0.1,3.8,SG,10.5,0.47100000000000003,-3.8,0.051,0
374,David Nwaba,BRK,2020,20,13.4,0.521,0.429,2.3,0.4,0.6,0.6,5.2,SF,14.0,0.627,1.0,0.138,1
376,Kyle O'Quinn,PHI,2020,29,10.8,0.494,0.259,4.0,1.8,0.2,0.8,3.5,C,18.6,0.544,3.0,0.165,1
377,Semi Ojeleye,BOS,2020,69,14.7,0.408,0.37799999999999995,2.1,0.5,0.3,0.1,3.4,PF,7.7,0.562,-1.7,0.08800000000000001,1
378,Jahlil Okafor,NOP,2020,30,15.6,0.623,0.33299999999999996,4.2,1.2,0.2,0.7,8.1,C,18.3,0.642,-0.2,0.133,0
379,Elie Okobo,PHO,2020,55,13.1,0.39799999999999996,0.35200000000000004,1.6,2.1,0.4,0.1,4.0,PG,10.6,0.516,-1.9,0.067,0
