,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
309,Chimezie Metu,SAC,2021,11,6.5,0.5,0.33299999999999996,2.1,0.5,0.3,0.5,3.4,C,20.3,0.545,-1.3,0.084
311,Darius Miller,OKC,2021,12,9.3,0.45799999999999996,0.429,1.3,0.8,0.4,0.3,2.8,SF,12.6,0.6709999999999999,1.5,0.124
316,Adam Mokoka,CHI,2021,7,6.0,0.35700000000000004,0.125,0.6,0.6,0.3,0.1,1.6,SG,5.4,0.39299999999999996,-6.6,-0.032
320,Juwan Morgan,UTA,2021,15,4.7,0.429,0.3,0.9,0.3,0.2,0.0,1.1,PF,7.2,0.494,-2.6,0.084
341,Jordan Nwora,MIL,2021,10,8.2,0.45899999999999996,0.5,1.5,0.0,0.4,0.2,5.1,SF,12.9,0.616,-5.4,0.024
347,Onyeka Okongwu,ATL,2021,16,9.9,0.568,0.0,2.4,0.3,0.4,0.4,3.2,C,12.3,0.585,-3.6,0.09
352,Miye Oni,UTA,2021,26,7.9,0.368,0.39399999999999996,1.8,0.2,0.1,0.2,1.8,SG,7.5,0.5660000000000001,-2.5,0.096
354,Daniel Oturu,LAC,2021,10,4.2,0.6,0.0,1.4,0.4,0.0,0.3,2.0,C,21.6,0.63,0.5,0.209
358,Anžejs Pasečņiks,WAS,2021,1,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,C,-40.8,0.0,-47.1,-1.123
364,Norvel Pelle,SAC,2021,4,8.0,0.375,0.0,2.0,0.3,0.0,0.8,2.3,C,5.6,0.461,-8.3,-0.015
366,Theo Pinson,NYK,2021,11,2.3,0.14300000000000002,0.0,0.1,0.1,0.0,0.0,0.2,SG,-6.8,0.14300000000000002,-14.4,-0.16699999999999998
369,Vincent Poirier,PHI,2021,6,3.7,0.25,0.0,0.7,0.2,0.0,0.3,0.7,C,3.7,0.34700000000000003,-9.7,-0.07
381,Jahmi'us Ramsey,SAC,2021,4,4.0,0.5,0.33299999999999996,1.0,0.3,0.0,0.3,1.3,SG,11.5,0.625,-3.9,0.015
388,Nick Richards,CHO,2021,8,2.9,0.5,0.0,0.8,0.0,0.0,0.0,1.4,PF,13.2,0.637,-5.7,0.139
405,JaKarr Sampson,IND,2021,15,6.5,0.469,0.2,1.9,0.1,0.1,0.2,2.6,PF,11.6,0.536,-5.0,0.048
