,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
463,Jayson Tatum,BOS,2020,66,34.3,0.45,0.40299999999999997,7.0,3.0,1.4,0.9,23.4,PF,20.4,0.5670000000000001,4.0,0.146,1
471,Tristan Thompson,CLE,2020,57,30.2,0.512,0.391,10.1,2.1,0.6,0.9,12.0,PF,16.8,0.54,-1.5,0.085,0
476,Karl-Anthony Towns,MIN,2020,35,33.9,0.508,0.41200000000000003,10.8,4.4,0.9,1.2,26.5,C,26.5,0.642,7.8,0.204,0
479,P.J. Tucker,HOU,2020,72,34.3,0.415,0.358,6.6,1.6,1.1,0.5,6.9,PF,8.3,0.5589999999999999,-1.9,0.078,1
487,Fred VanVleet,TOR,2020,54,35.7,0.413,0.39,3.8,6.6,1.9,0.3,17.6,SG,16.3,0.5529999999999999,2.7,0.145,1
490,Nikola Vučević,ORL,2020,62,32.2,0.47700000000000004,0.33899999999999997,10.9,3.6,0.9,0.8,19.6,C,21.9,0.5489999999999999,4.2,0.153,1
494,Kemba Walker,BOS,2020,56,31.1,0.425,0.381,3.9,4.8,0.9,0.5,20.4,PG,20.0,0.575,4.6,0.162,1
499,T.J. Warren,IND,2020,67,32.9,0.536,0.40299999999999997,4.2,1.5,1.2,0.5,19.8,SF,18.4,0.61,1.1,0.14300000000000002,1
500,P.J. Washington,CHO,2020,58,30.3,0.455,0.374,5.4,2.1,0.9,0.8,12.2,PF,12.4,0.547,-1.6,0.054000000000000006,0
505,Russell Westbrook,HOU,2020,57,35.9,0.47200000000000003,0.258,7.9,7.0,1.6,0.4,27.2,PG,21.0,0.536,1.5,0.098,1
508,Hassan Whiteside,POR,2020,67,30.0,0.621,0.5710000000000001,13.5,1.2,0.4,2.9,15.5,C,25.0,0.644,3.2,0.204,1
509,Andrew Wiggins,TOT,2020,54,34.4,0.447,0.332,5.1,3.7,0.8,1.0,21.8,SF,16.4,0.536,-0.3,0.05,0
524,Trae Young,ATL,2020,60,35.3,0.43700000000000006,0.361,4.3,9.3,1.1,0.1,29.6,PG,23.9,0.595,3.9,0.133,0
532,Steven Adams,OKC,2019,80,33.4,0.595,0.0,9.5,1.6,1.5,1.0,13.9,C,18.5,0.591,1.1,0.163,1
536,LaMarcus Aldridge,SAS,2019,81,33.2,0.519,0.23800000000000002,9.2,2.4,0.5,1.3,21.3,C,22.9,0.5760000000000001,1.8,0.16699999999999998,1
546,Giannis Antetokounmpo,MIL,2019,72,32.8,0.578,0.256,12.5,5.9,1.3,1.5,27.7,PF,30.9,0.644,10.4,0.292,1
551,Trevor Ariza,TOT,2019,69,34.0,0.39899999999999997,0.33399999999999996,5.4,3.7,1.3,0.3,12.5,SF,12.0,0.534,-1.3,0.052000000000000005,0
553,Deandre Ayton,PHO,2019,71,30.7,0.585,0.0,10.3,1.8,0.9,0.9,16.3,C,20.5,0.608,0.2,0.128,0
558,Lonzo Ball,LAL,2019,47,30.3,0.406,0.32899999999999996,5.3,5.4,1.5,0.4,9.9,PG,11.7,0.48700000000000004,-0.3,0.052000000000000005,0
561,Harrison Barnes,TOT,2019,77,32.9,0.42,0.395,4.7,1.5,0.6,0.2,16.4,PF-SF,12.8,0.55,-1.4,0.068,0
564,Nicolas Batum,CHO,2019,75,31.4,0.45,0.389,5.2,3.3,0.9,0.6,9.3,SF,11.9,0.581,-0.3,0.076,0
568,Bradley Beal,WAS,2019,82,36.9,0.475,0.35100000000000003,5.0,5.5,1.5,0.7,25.6,SG,20.8,0.581,2.9,0.12,0
585,Bojan Bogdanović,IND,2019,81,31.8,0.49700000000000005,0.425,4.1,2.0,0.9,0.0,18.0,SF,16.1,0.613,0.7,0.126,1
589,Devin Booker,PHO,2019,64,35.0,0.467,0.326,4.1,6.8,0.9,0.2,26.6,SG,20.2,0.584,1.0,0.076,0
591,Avery Bradley,TOT,2019,63,30.2,0.408,0.35100000000000003,2.8,2.4,0.7,0.3,9.9,SG,7.6,0.496,-3.7,0.009000000000000001,0
612,Jimmy Butler,TOT,2019,65,33.6,0.462,0.34700000000000003,5.3,4.0,1.9,0.6,18.7,SF-SG,20.2,0.5710000000000001,3.7,0.17300000000000001,0
617,Clint Capela,HOU,2019,67,33.6,0.648,0.0,12.7,1.4,0.7,1.5,16.6,C,23.8,0.6579999999999999,3.0,0.23,1
636,John Collins,ATL,2019,61,30.0,0.56,0.348,9.8,2.0,0.4,0.6,19.5,PF,21.8,0.627,0.9,0.158,0
640,Mike Conley,MEM,2019,70,33.5,0.43799999999999994,0.364,3.4,6.4,1.3,0.3,21.1,PG,21.4,0.569,4.7,0.16399999999999998,0
644,Robert Covington,TOT,2019,35,34.4,0.431,0.37799999999999995,5.5,1.3,2.1,1.3,13.3,SF,13.3,0.58,1.6,0.1,0
652,Stephen Curry,GSW,2019,69,33.8,0.47200000000000003,0.43700000000000006,5.3,5.2,1.3,0.4,27.3,PG,24.4,0.6409999999999999,6.6,0.19899999999999998,1
654,Anthony Davis,NOP,2019,56,33.0,0.517,0.331,12.0,3.9,1.6,2.4,25.9,C,30.3,0.597,9.4,0.247,0
